divisionCode,detailDivisionCode,cinemaID,element
1,0001,1013,가산디지털
1,0001,9094,가양
1,0001,9010,강동
1,0001,1004,건대입구
1,0001,1009,김포공항
1,0001,1003,노원
1,0001,1023,도곡
1,0001,1017,독산
1,0001,1012,서울대입구
1,0001,9099,수락산
1,0001,9104,수유
1,0001,1024,신대방
1,0001,1015,신도림
1,0001,1007,신림
1,0001,1001,에비뉴엘
1,0001,1002,영등포
1,0001,1014,용산
1,0001,1016,월드타워
1,0001,1021,은평
1,0001,9083,중랑
1,0001,1008,청량리
1,0001,1010,합정
1,0001,1005,홍대입구
1,0002,3030,광교
1,0002,3027,광명
1,0002,3025,광명아울렛
1,0002,3026,구리아울렛
1,0002,3048,동탄
1,0002,9095,라페스타
1,0002,3021,마석
1,0002,3046,별내
1,0002,3017,병점
1,0002,3011,부천
1,0002,3003,부평
1,0002,3050,부평갈산
1,0002,3008,부평역사
1,0002,3045,북수원
1,0002,3031,산본피트인
1,0002,3043,서수원
1,0002,3041,성남중앙
1,0002,3012,센트럴락
1,0002,3029,송탄
1,0002,3024,수원
1,0002,3044,수지
1,0002,9088,시화
1,0002,3049,시흥장현
1,0002,3004,안산
1,0002,3028,안산고잔
1,0002,9106,안성
1,0002,3007,안양
1,0002,3032,안양일번가
1,0002,3039,용인기흥
1,0002,3040,용인역북
1,0002,3037,위례
1,0002,3033,의정부민락
1,0002,9100,인덕원
1,0002,3035,인천아시아드
1,0002,3038,인천터미널
1,0002,3010,진접
1,0002,9113,파주롯데아울렛
1,0002,9124,파주야당
1,0002,3034,파주운정
1,0002,3047,판교
1,0002,3018,평촌
1,0002,9111,하남미사
1,0002,3036,향남
1,0003,9085,당진
1,0003,4002,대전
1,0003,4009,대전관저
1,0003,4008,대전센트럴
1,0003,9044,서산
1,0003,4004,서청주
1,0003,4005,아산터미널
1,0003,9119,오송
1,0003,9101,천안불당
1,0003,9112,천안청당
1,0003,4007,청주용암
1,0003,9078,충주
1,0004,6001,광주
1,0004,9065,광주광산
1,0004,9117,광주첨단
1,0004,6007,군산나운
1,0004,6009,군산몰
1,0004,6004,수완
1,0004,9070,익산모현
1,0004,6002,전주
1,0004,9102,전주송천
1,0004,6006,전주평화
1,0004,9047,충장로
1,0005,9120,경주황성
1,0005,5013,구미공단
1,0005,5012,대구광장
1,0005,5006,대구율하
1,0005,9121,대구현풍
1,0005,5005,동성로
1,0005,5016,상인
1,0005,9080,상주
1,0005,5004,성서
1,0005,9064,영주
1,0005,9098,영천
1,0005,9097,포항
1,0005,9067,프리미엄구미센트럴
1,0005,9074,프리미엄안동
1,0005,9057,프리미엄칠곡
1,0101,9122,거창
1,0101,2009,광복
1,0101,5015,김해부원
1,0101,5011,김해아울렛
1,0101,2007,동래
1,0101,2010,동부산아울렛
1,0101,9042,마산
1,0101,9092,부산명지
1,0101,2004,부산본점
1,0101,9115,부산장림
1,0101,9084,사천
1,0101,2006,센텀시티
1,0101,9103,양산물금
1,0101,9105,엠비씨네
1,0101,2011,오투
1,0101,5001,울산
1,0101,9116,울산성남
1,0101,5017,진주혁신
1,0101,5009,진해
1,0101,5002,창원
1,0101,9036,통영
1,0101,9072,프리미엄경남대
1,0101,9059,프리미엄해운대
1,0006,9118,강릉
1,0006,9108,남원주
1,0006,7002,동해
1,0006,7003,원주무실
1,0006,9123,춘천
1,0007,9013,서귀포
1,0007,6010,제주연동
