movieNo,movieNm
25101300,프로젝트 Y
25096900,만약에 우리
21018100,반지의 제왕 : 왕의 귀환
25094900,아바타: 불과 재
25104400,하트맨
25102900,"신비아파트 10주년 극장판: 한 번 더, 소환"
25097900,광장
25103300,보이
22103500,더 퍼스트 슬램덩크
25097100,리틀 아멜리
25088300,신의악단
25089000,주토피아 2
25100300,누벨바그
25090700,피렌체
25100400,"오늘 밤, 세계에서 이 사랑이 사라진다 해도"
25101100,철도원
26000700,네 멋대로 해라
25104600,휴민트
25096400,화양연화 특별판
25084200,후지모토 타츠키 17-26 파트 2
25084100,후지모토 타츠키 17-26 파트 1
25104500,왕과 사는 남자
25065200,극장판 체인소 맨: 레제편
25097500,마이 선샤인
25102700,Kagami Hayato 1st One Man Live ＂ALPHA ONE＂ Live Viewing at MEGABOX  
25100000,부흥
25104300,한스 짐머 시네마 콘서트
25096700,시라트
25097200,뽀로로 극장판 스위트캐슬 대모험
25100600,파더 마더 시스터 브라더
25091800,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈
26001100,[오페라] 마술피리
25099200,아이돌리쉬 세븐 퍼스트 비트! 극장총집편 후편
25084600,극장판 주술회전: 시부야사변 X 사멸회유
25083300,국보
24038100,극장판 폴 프린세스!!
25077300,세계의 주인
25047100,스폰지밥 무비: 네모바지를 찾아서
25081900,위키드: 포 굿
25102200,굿 포츈
25095600,슈퍼 해피 포에버
25101800,어리석은 자는 누구인가
25100500,라스베가스를 떠나며
25101900,731
25094000,여행과 나날
25095200,하나 그리고 둘
24045300,룩백
25031900,프레디의 피자가게 2
25074200,원 배틀 애프터 어나더
25099500,튜즈데이
26000100,굿 포 낫씽
25090800,척의 일생
25104800,나이트 플라워
25098000,석류의 빛깔
25093900,"파리, 밤의 여행자들"
25079000,윗집 사람들
25082600,톰과 제리: 황금나침반 대소동
25093700,다잉
25097600,프리즘 오브 그레이 락
25084000,럭키 데이 인 파리
25101600,영생인
25100100,이사벨라 두크로트 언리미티드
25080900,아이돌리쉬 세븐 퍼스트 비트! 극장총집편 전편
25078500,어쩌면 해피엔딩
25104100,그녀의 연기
25104200,[연속상영] 후지모토 타츠키 17-26 (파트1/파트2)
25096300,고백하지마
25102100,담뽀뽀
25103700,롤링스톤
25092300,망내인: 얼굴 없는 살인자들
26002000,송 썽 블루
26000600,스노우 폭스 : 마법의 돌을 찾아서
