brchNo,brchNm
1372,강남
1341,강동
0090,구의이스트폴
1431,군자
0041,더부티크목동현대백화점
0073,동대문
1572,마곡
1581,목동
1311,상봉
1211,상암월드컵경기장
1371,센트럴
1381,송파파크하비오
1202,신촌
1561,이수
1321,창동
1351,코엑스
0081,픽쳐하우스
1212,홍대
0083,화곡
4121,고양스타필드
0029,광명AK플라자
0053,광명소하
0035,금정AK플라자
4152,김포한강신도시
0039,남양주
0019,남양주현대아울렛스페이스원
4451,동탄
0089,동탄역
0084,미사강변(하남종합운동장)
4104,백석벨라시타
4722,별내
4221,부천스타필드시티
4631,분당
0086,성남모란
0051,수원
0052,수원AK플라자(수원역)
0042,수원남문
0062,수원스타필드
0060,수원인계
0036,수원호매실(휴관)
4291,시흥배곧
0088,시흥정왕
4253,안산중앙
0020,안성스타필드
4462,용인테크노밸리
0070,의정부민락
4112,킨텍스
4132,파주금촌
4115,파주운정
0064,평택비전
4651,하남스타필드
4041,검단
4062,송도(트리플스트리트)
4001,영종
0080,영종하늘도시
4051,인천논현
0085,인천학익(시티오씨엘)
0027,청라지젤(휴관)
3141,공주
0018,논산
3021,대전
0028,대전신세계아트앤사이언스
0009,대전유성
3011,대전중앙로
0017,대전현대아울렛
3391,세종(조치원)
3392,세종나성
0008,세종청사
3631,오창
3651,진천
0056,천안
0049,청주사창
0069,청주성안길
0094,청주터미널
0068,충주연수
3501,홍성내포
0040,경북도청
7122,경산하양
7303,구미강동
7401,김천
0074,남포항
0067,대구세븐밸리(칠곡)
7011,대구신세계(동대구)
0022,대구이시아
0072,대구프리미엄만경관
6161,덕천
0076,마산(경남대)
6001,부산극장
0061,부산대
0025,북대구(칠곡)
0032,사상
6642,삼천포
0082,서면대한
0063,양산
6262,양산증산
0057,울산
6191,정관(휴관)
0045,진주(중안)
0048,창원
0014,창원내서
0038,포항
0079,해운대(장산)
0087,화명
5021,광주상무
5061,광주하남
5302,목포하당(포르모)
5401,순천
5552,여수웅천
0010,전대(광주)
0050,전주객사
0021,전주혁신
5064,첨단
2001,남춘천
2171,속초
2202,원주혁신
0037,춘천석사
0059,제주삼화
0054,제주서귀포
0066,제주아라
